Date,GORH,GPRH,GPTH,LPRH,OPRH,OPT,WCTH,WIRH,WITH,WPRH,WPTH
36708,184,1437154.375,276816288,8335.935547,7810.62207,1504436.375,0.063017927,9833.333008,895000,525.3133545,77363.92188
36709,183.9999847,1410420.375,278226720,8287.838867,7665.329102,1512101.75,0.075111255,9665.691406,904665.6875,622.5100098,77986.42969
36712,183.9999847,1410420.375,282457984,8287.838867,7665.329102,1535097.75,0.075111255,9665.691406,933662.75,622.5100098,79853.96094
36717,183.9999847,1410420.375,289510080,8287.838867,7665.329102,1573424.375,0.075111255,9665.691406,981991.1875,622.5100098,82966.50781
36722,183.9999847,1410420.375,296562176,8287.838867,7665.329102,1611751,0.075111255,9665.691406,1030319.625,622.5100098,86079.0625
36727,183.9999847,1410420.375,303614304,8287.838867,7665.329102,1650077.625,0.075111255,9665.691406,1078648.125,622.5100098,89191.60938
36732,183.9999847,1410420.375,310666400,8287.838867,7665.329102,1688404.25,0.075111255,9665.691406,1126976.625,622.5100098,92304.16406
36735.5,183.9999847,1410420.375,315602848,8287.838867,7665.329102,1715233,0.075111255,9665.691406,1160806.5,622.5100098,94482.94531
36739,183.9999847,1410420.375,320539328,8287.838867,7665.329102,1742061.625,0.075111255,9665.691406,1194636.375,622.5100098,96661.72656
36740,184,1328840.125,321868160,7836.727539,7221.957031,1749283.5,0.078447349,9445.529297,1204081.875,614.7705078,97276.5
36743,184,1328840.125,325854688,7836.727539,7221.957031,1770949.375,0.078447349,9445.529297,1232418.5,614.7705078,99120.8125
36748,184,1328840.125,332498880,7836.727539,7221.957031,1807059.25,0.078447349,9445.529297,1279646.125,614.7705078,102194.6641
36753,184,1328840.125,339143104,7836.727539,7221.957031,1843169,0.078447349,9445.529297,1326873.875,614.7705078,105268.5156
36758,184,1328840.125,345787296,7836.727539,7221.957031,1879278.75,0.078447349,9445.529297,1374101.5,614.7705078,108342.3672
36763,184,1328840.125,352431488,7836.727539,7221.957031,1915388.625,0.078447349,9445.529297,1421329.125,614.7705078,111416.2188
36766.5,184,1328840.125,357082432,7836.727539,7221.957031,1940665.375,0.078447349,9445.529297,1454388.5,614.7705078,113567.9219
36770,184,1328840.125,361733376,7836.727539,7221.957031,1965942.25,0.078447349,9445.529297,1487447.875,614.7705078,115719.6172
36771,183.9999847,1257517.25,362990880,7438.941895,6834.333984,1972776.625,0.081276067,9386.418945,1496834.25,604.6079102,116324.2266
36774,183.9999847,1257517.25,366763456,7438.941895,6834.333984,1993279.625,0.081276067,9386.418945,1524993.5,604.6079102,118138.0469
36779,183.9999847,1257517.25,373051040,7438.941895,6834.333984,2027451.25,0.081276067,9386.418945,1571925.625,604.6079102,121161.0859
36784,183.9999847,1257517.25,379338624,7438.941895,6834.333984,2061623,0.081276067,9386.418945,1618857.75,604.6079102,124184.125
36789,183.9999847,1257517.25,385626208,7438.941895,6834.333984,2095794.625,0.081276067,9386.418945,1665789.75,604.6079102,127207.1641
36794,183.9999847,1257517.25,391913792,7438.941895,6834.333984,2129966.25,0.081276067,9386.418945,1712721.875,604.6079102,130230.2031
36797,183.9999847,1257517.25,395686336,7438.941895,6834.333984,2150469.25,0.081276067,9386.418945,1740881.125,604.6079102,132044.0313
36800,183.9999847,1257517.25,399458912,7438.941895,6834.333984,2170972.25,0.081276067,9386.418945,1769040.375,604.6079102,133857.8594
36801,183.9999847,1199547.125,400658432,7132.999023,6519.27832,2177491.5,0.086039692,9343.804688,1778384.25,613.7210693,134471.5781
36804,183.9999847,1199547.125,404257088,7132.999023,6519.27832,2197049.5,0.086039692,9343.804688,1806415.625,613.7210693,136312.7344
36809,183.9999847,1199547.125,410254816,7132.999023,6519.27832,2229645.75,0.086039692,9343.804688,1853134.625,613.7210693,139381.3438
36814,183.9999847,1199547.125,416252544,7132.999023,6519.27832,2262242.25,0.086039692,9343.804688,1899853.625,613.7210693,142449.9531
36819,183.9999847,1199547.125,422250304,7132.999023,6519.27832,2294838.5,0.086039692,9343.804688,1946572.75,613.7210693,145518.5469
36824,183.9999847,1199547.125,428248032,7132.999023,6519.27832,2327435,0.086039692,9343.804688,1993291.75,613.7210693,148587.1563
36827.5,183.9999847,1199547.125,432446432,7132.999023,6519.27832,2350252.5,0.086039692,9343.804688,2025995,613.7210693,150735.1875
36831,183.9999847,1199547.125,436644864,7132.999023,6519.27832,2373070,0.086039692,9343.804688,2058698.375,613.7210693,152883.2031
36832,183.9999847,1152276.875,437797120,6902.602051,6262.375,2379332.25,0.092751563,9309.646484,2068008,640.2271729,153523.4375
36835,183.9999847,1152276.875,441253952,6902.602051,6262.375,2398119.5,0.092751563,9309.646484,2095936.875,640.2271729,155444.1094
36840,183.9999847,1152276.875,447015360,6902.602051,6262.375,2429431.25,0.092751563,9309.646484,2142485.25,640.2271729,158645.25
36845,183.9999847,1152276.875,452776736,6902.602051,6262.375,2460743.25,0.092751563,9309.646484,2189033.5,640.2271729,161846.3906
36850,183.9999847,1152276.875,458538112,6902.602051,6262.375,2492055,0.092751563,9309.646484,2235581.75,640.2271729,165047.5156
36855,183.9999847,1152276.875,464299488,6902.602051,6262.375,2523367,0.092751563,9309.646484,2282129.75,640.2271729,168248.6563
36858,183.9999847,1152276.875,467756320,6902.602051,6262.375,2542154,0.092751563,9309.646484,2310058.75,640.2271729,170169.3438
36861,183.9999847,1152276.875,471213152,6902.602051,6262.375,2560941.25,0.092751563,9309.646484,2337987.75,640.2271729,172090.0156
36862,184.0000153,1113746.25,472326912,6729.431152,6052.967773,2566994.25,0.100523092,9284.40625,2347272.25,676.4631958,172766.4844
36865,184.0000153,1113746.25,475668160,6729.431152,6052.967773,2585153,0.100523092,9284.40625,2375125.25,676.4631958,174795.875
36870,184.0000153,1113746.25,481236864,6729.431152,6052.967773,2615417.75,0.100523092,9284.40625,2421547.5,676.4631958,178178.1875
36875,184.0000153,1113746.25,486805600,6729.431152,6052.967773,2645682.75,0.100523092,9284.40625,2467969.5,676.4631958,181560.5
36880,184.0000153,1113746.25,492374336,6729.431152,6052.967773,2675947.5,0.100523092,9284.40625,2514391.5,676.4631958,184942.8281
36885,184.0000153,1113746.25,497943072,6729.431152,6052.967773,2706212.5,0.100523092,9284.40625,2560813.5,676.4631958,188325.1406
36888.5,184.0000153,1113746.25,501841184,6729.431152,6052.967773,2727397.75,0.100523092,9284.40625,2593309,676.4631958,190692.7656
36892,184.0000153,1113746.25,505739296,6729.431152,6052.967773,2748583.25,0.100523092,9284.40625,2625804.25,676.4631958,193060.375
36893,183.9999847,1668560.5,507407840,10009.1543,9068.263672,2757651.5,0.094003022,9275.868164,2635080.25,940.8907471,194001.2656
36896,183.9999847,1668560.5,512413536,10009.1543,9068.263672,2784856.25,0.094003022,9275.868164,2662907.75,940.8907471,196823.9375
36901,183.9999847,1668560.5,520756352,10009.1543,9068.263672,2830197.5,0.094003022,9275.868164,2709287,940.8907471,201528.3906
