OPR,OPRH,GPR,GPRH,WCT,WCTH,OPT,OPTH,GPT,GPTH,WPT,WPTH,Date,BHP,GOR,PI,Temperature
3716.776367,3833.85791,2010310,705429.875,0.146153241,0.01296559,341140.5625,123929.1953,62769864,22802970,66440.98438,1236.350952,63.11153793,240.0727692,184,548.6378784,414.075
3712.192383,3833.85791,2010767.5,705429.875,0.14587824,0.01296559,361018.625,130902.9375,66427428,24086140,69836.02344,1327.95752,64.93052673,237.9673615,184,531.4180908,414.0565
3704.258789,3833.85791,2011077.375,705429.875,0.145701617,0.01296559,392082.9063,141799.4219,72143256,26091092,75134.07813,1471.092529,67.77269745,234.7135162,184,504.520813,414.038
3690.045898,3833.85791,2011005.375,705429.875,0.145773202,0.01296559,440619.0938,158825.1719,81073912,29223830,83416.74219,1694.741211,72.21359253,229.7171326,184,463.0016785,414.0195
3676.87207,3833.85791,2006946.5,705429.875,0.14634265,0.01296559,495286.0313,177994.4531,91108640,32750980,92788.30469,1946.547119,77.21359253,224.2336426,184,407.9627075,414.001
3658.363281,3833.85791,2000494.125,705429.875,0.147571534,0.01296559,549962.9375,197163.75,101111112,36278128,102253.9141,2198.353027,82.21359253,219.0944977,184,350.9051208,413.9825
3633.072754,3833.85791,1994475.375,705429.875,0.149184495,0.01296559,597985.4375,214006.6719,109873256,39377228,110674.3203,2419.600098,86.60679626,214.7758789,184,306.5689392,413.964
3603.845215,3833.85791,1983807,705429.875,0.15178369,0.01296559,645985,230849.5938,118588528,42476328,119263.5781,2640.847168,91,210.1119537,184,262.5422058,413.9455
2180.013916,2304.021973,1703443.75,423940.1875,0.150233731,0.026035957,655293.5,233153.625,120291968,42900268,120909.2734,2702.438232,92,218.3623352,184.000061,270.7606506,413.927
2169.389404,2304.021973,1704763.5,423940.1875,0.149676487,0.026035957,683169.1875,240051.3281,125395632,44169444,125816.0391,2886.827148,94.99376678,218.9280548,184.000061,265.0291138,413.9085
2154.97876,2304.021973,1706079.75,423940.1875,0.148083702,0.026035957,729796.875,251571.4375,133926032,46289144,133921.0469,3194.782227,99.99376678,217.9539337,184.000061,248.830719,413.89
2140.907959,2304.021973,1707388.875,423940.1875,0.14620398,0.026035957,776512.5,263091.5313,142462976,48408844,141920.625,3502.737305,104.9937668,216.486496,184.000061,232.5929413,413.8715
2126.252441,2304.021973,1708552.25,423940.1875,0.144289166,0.026035957,823319.8125,274611.6563,151005744,50528548,149813.25,3810.692139,109.9937668,214.7815704,184.000061,216.9222565,413.853
2110.664307,2304.021973,1708923.625,423940.1875,0.142885655,0.026035957,870201.1875,286131.75,159550352,52648248,157628.625,4118.647461,114.9937668,212.9352112,184.000061,202.0942535,413.8345
2101.556152,2304.021973,1709088.75,423940.1875,0.142073125,0.026035957,898385.75,293051,164682944,53921388,162296,4303.612305,117.9968796,211.7938385,184.000061,193.9919434,413.816
2092.304688,2304.021973,1709109.75,423940.1875,0.141373202,0.026035957,926595.3125,299970.25,169815600,55194532,166940.7188,4488.577148,121,210.6162872,184.000061,185.9874115,413.7975
1551.975342,1664.161011,1482177.25,306205.5938,0.139099628,0.061708622,934716.9375,301634.4063,171297776,55500736,168252.9688,4598.023926,122,214.7094421,183.9999847,188.7830963,413.779
1546.190796,1664.161011,1483483.875,306205.5938,0.138135716,0.061708622,959098.8125,306626.9063,175748240,56419356,172160.7813,4926.364746,125,214.9217224,183.9999847,187.0270996,413.7605
1538.489258,1664.161011,1485698.5,306205.5938,0.136015832,0.061708622,999806.5,314947.7188,183176720,57950384,178569.3281,5473.599121,130,214.4878082,183.9999847,181.8514862,413.742
